;full;subset;;;full;subset;;;;full;subset;;;;;;
(Intercept);0,121001646;0,121001646;;(Intercept);1,320850285;1,320850285;;;(Intercept);3,286725867;3,286725867;;;;;;
Elevation;0,09359604;0,09359604;;Elevation;0,000624805;0,00084863;;;Elevation;-0,003364134;-0,003364134;;;;;;
Hydrography;0,062161937;0,062161937;;Hydrography;-0,000141693;-0,000141693;;;Hydrography;-0,000376608;-0,000376608;;;;;;
LULC4;-0,121241518;-0,121241518;;LULC4;-0,400709845;-0,400709845;;;Pop_dens;0,058237342;0,058237342;;;;;;
LULC9;0,510454425;0,510454425;;LULC9;-0,756984389;-0,756984389;;;Road;-0,000126693;-0,000126693;;;;;;
LULC12;-0,114397431;-0,114397431;;LULC12;-0,779354718;-0,779354718;;;Slope;-0,19525387;-0,19525387;;;;;;
LULC15;-0,851483024;-0,851483024;;LULC15;-0,691352126;-0,691352126;;;NDVI;-0,127661572;-0,397833916;;;;;;
LULC25;0,128705137;0,128705137;;LULC25;-0,613802211;-0,613802211;;;;;;;;;;;
LULC41;0,520945176;0,520945176;;LULC41;-1,432177651;-1,432177651;;;CAVERNAS;;;;;;;;
NDVI;-0,350432564;-0,350432564;;NDVI;-3,060648318;-3,060648318;;;;;;;;;;;
Pop_dens;-1,23159246;-1,23159246;;Pop_dens;0,2577748;0,2577748;;;;;;;;;;;
Road;0,233631433;0,233631433;;Road;2,36E-05;2,36E-05;;;;;;;;;;;
Slope;0,143918083;0,143918083;;Slope;-0,004703201;-0,010369193;;;;;;;;;;;
Ocupations;-0,009224901;-0,024076099;;;;;;;;;;;;;;;
PANDEIROS;;;;cocha;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
